台灣頻道,#genre#
博斯网球台,http://192.168.1.249:5050/litv-longturn09/index.m3u8
博斯运动一台,http://192.168.1.249:5050/litv-longturn07/index.m3u8
博斯运动二台,http://192.168.1.249:5050/litv-longturn08/index.m3u8
博斯高球1台,http://192.168.1.249:5050/litv-longturn05/index.m3u8
博斯高球2台,http://192.168.1.249:5050/litv-longturn06/index.m3u8
博斯魅力,http://192.168.1.249:5050/litv-longturn04/index.m3u8
时尚运动X,http://192.168.1.249:5050/4gtv-4gtv014/index.m3u8
智林体育台,http://192.168.1.249:5050/4gtv-4gtv101/index.m3u8
CCTV5+,http://223.112.114.228:50080/newlive/live/hls/180/live.m3u8
CCTV5+,http://183.215.134.239:19901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://183.215.134.239:19901/tsfile/live/0005_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
電影頻道,#genre#
CINEMAX,https://smart.pendy.dpdns.org/Smart.php?id=Cinemax
HBO,https://smart.pendy.dpdns.org/Smart.php?id=Hbo
HBOFamily,https://smart.pendy.dpdns.org/Smart.php?id=Hbofamily
HBOHits,https://smart.pendy.dpdns.org/Smart.php?id=Hbohitshd
HBOSignature,https://smart.pendy.dpdns.org/Smart.php?id=Hbosignature
东森洋片台,https://smart.pendy.dpdns.org/Smart.php?id=ettvwestern
东森电影台,https://smart.pendy.dpdns.org/Smart.php?id=ettvmovie
卫视电影台,https://smart.pendy.dpdns.org/Smart.php?id=weishimovie_twn
纬来电影台,https://smart.pendy.dpdns.org/Smart.php?id=videolandmovie
美亚电影台,https://smart.pendy.dpdns.org/Smart.php?id=meiyamovie_twn
龙华洋片,https://smart.pendy.dpdns.org/Smart.php?id=lunghuawestern_twn
amc电影台,http://192.168.1.249:5050/4gtv-4gtv017/index.m3u8
影迷数位电影台,http://192.168.1.249:5050/4gtv-4gtv011/index.m3u8
电影原声台 CMusic,http://192.168.1.249:5050/4gtv-live031/index.m3u8
经典电影台,http://192.168.1.249:5050/4gtv-live021/index.m3u8
靖天电影台,http://192.168.1.249:5050/4gtv-4gtv061/index.m3u8
龙华洋片,http://192.168.1.249:5050/litv-longturn02/index.m3u8
龙华电影,http://192.168.1.249:5050/litv-longturn03/index.m3u8
龙华洋片,https://pkj99.github.io/iptv/ofiii.html?asset_id=litv-longturn02
龙华电影,https://pkj99.github.io/iptv/ofiii.html?asset_id=litv-longturn03
廣播頻道,#genre#
AsiaFM亞太電台FM92.3,https://stream.rcs.revma.com/kydend74hv8uv
AsiaFM亞洲電台FM92.7,https://stream.rcs.revma.com/xpgtqc74hv8uv
AsiaFM衛星流行音樂台,http://sonnykuo.appspot.com/asiafm/?id=asiafm-star
AsiaFM飛揚調頻FM89.5,https://stream.rcs.revma.com/e0tdah74hv8uv
BravoFM91.3,https://onair.bravo913.com.tw:9130/live.mp3
ClassicalFM97.7,https://onair.family977.com.tw:8977/live.mp3
ICRT,http://live.leanstream.co/ICRTFM?args=tunein_aac
IC之音,https://n10.rcs.revma.com/7mnq8rt7k5zuv
Igo531,https://stream.rcs.revma.com/1qxn2vg3qtzuv
MRadio全國廣播FM106,http://stream.rcs.revma.com/044q61ha7a0uv
News98,https://stream.rcs.revma.com/pntx1639ntzuv.m4a
TaiwanLoungeRadio,https://azuracast.conceptradio.fr/radio/8030/stream.mp3?1596557333
UNIFM96.7環宇廣播電台,https://n10.rcs.revma.com/srn5f9kmwxhvv
世新廣播電臺88.1,https://stream.ginnet.cloud/live0115lo-89xv/_definst_/fm881/playlist.m3u8
中央廣播電臺華語,https://streamak0138.akamaized.net/live0138lh-mbm9/_definst_/rti3/playlist.m3u8
中廣新聞網,http://stream.rcs.revma.com/fgtx07f3qtzuv
中廣流行網,https://stream.rcs.revma.com/s1zttsg3qtzuv
中廣鄉親網,https://stream.rcs.revma.com/p2e3rfg3qtzuv
中廣音樂網,https://stream.rcs.revma.com/ks4vsmg3qtzuv
佳音Love聯播網,https://stream.ginnet.cloud/live0119lo-p4rb/_definst_/fm909/playlist.m3u8
全國廣播,http://stream.rcs.revma.com/044q61ha7a0uv
台藝之聲88.3,https://votastream.ntua.edu.tw:8443/vota
國立教育廣播電台/台北101.7,https://cast.ner.gov.tw/1
城市廣播城市廣播,http://fm971.cityfm.tw:8080/971.mp3
城市廣播網台北90.1,http://fm901.cityfm.tw:8080/901.mp3
大愛網路電台,http://38.96.148.28:8156/stream
幸福電台FM102.5,http://61.218.61.251:8080
政大之聲88.7,http://vnccuonair.nccu.edu.tw:8000/ade.taiwan.mp3
正聲104.1,http://flv.ccdntech.com/live/_definst_/mp4:vod117_Live/live1/playlist.m3u8
正聲綜合,http://flv.ccdntech.com/live/_definst_/mp4:vod117_Live/live2/playlist.m3u8
淡江之聲88.7,http://163.13.182.81:8001/votk
漁業廣播電台,https://stream.rcs.revma.com/mk0c5vq122hvv
臺北廣播電臺93.1,https://stream.ginnet.cloud/live0130lo-yfyo/_definst_/fm/playlist.m3u8
警察廣播電台全國治安交通網,http://stream.pbs.gov.tw:1935/live/mp3:PBS/playlist.m3u8
警察廣播電台台北分台,http://stream.pbs.gov.tw:1935/live/TPS/playlist.m3u8
輔大之聲88.5,http://fjuvoice885.fju.edu.tw:8000/fjuvoice885.mp3
銘傳之聲88.3,http://radio.mcu.edu.tw:8080/radio
飛碟聯播網,https://stream.rcs.revma.com/em90w4aeewzuv.m4a
SMART頻道,#genre#
欢喜台  （Hua Hee Tai）,https://smart.pendy.dpdns.org/Smart.php?id=Huahee
华丽台  （Wah Lai Toi）,https://smart.pendy.dpdns.org/Smart.php?id=Wlt
TVBS 欢乐台 （备份）,https://smart.pendy.dpdns.org/Smart.php?id=tvbshuanle_twn
NHKBSプレミア Premium,https://smart.pendy.dpdns.org/Smart.php?id=nhkpremium_japan
テレビ东京 Tokyo TV,https://smart.pendy.dpdns.org/Smart.php?id=tokyotv_japan
テレビ朝日 Asahi TV,https://smart.pendy.dpdns.org/Smart.php?id=asahitv_japan
Astro Premier League 2,https://smart.pendy.dpdns.org/Smart.php?id=go_assp2
Astro Premier League 1,https://smart.pendy.dpdns.org/Smart.php?id=go_assp1
TVB 星河台 Xing He,https://smart.pendy.dpdns.org/Smart.php?id=Xinhe
Skysports Main Event,https://smart.pendy.dpdns.org/Smart.php?id=tiankongmain
TVBS News 新闻台,https://smart.pendy.dpdns.org/Smart.php?id=tvbs_n
Celestial Movies,https://smart.pendy.dpdns.org/Smart.php?id=Celestialindo
Celestial Classic,https://smart.pendy.dpdns.org/Smart.php?id=Celestial2
Astro Sports Plus,https://smart.pendy.dpdns.org/Smart.php?id=go_sportsplus
Paramount Network,https://smart.pendy.dpdns.org/Smart.php?id=Paramountnetwork
MeWatch Vasantham,https://smart.pendy.dpdns.org/Smart.php?id=Mewatch_Vasantham
CNN International,https://smart.pendy.dpdns.org/Smart.php?id=Cnn
Natgeo Wild Tamil,https://smart.pendy.dpdns.org/Smart.php?id=natgeowildtamil_raj
阿里郎 Arirang,https://smart.pendy.dpdns.org/Smart.php?id=arirang_twn
Lifestyle&Fashion,https://smart.pendy.dpdns.org/Smart.php?id=Lifestyle
TVB Entertainment,https://smart.pendy.dpdns.org/Smart.php?id=Tvbentertainment
Astro Badminton 1,https://smart.pendy.dpdns.org/Smart.php?id=go_badminton1
Astro Badminton 2,https://smart.pendy.dpdns.org/Smart.php?id=go_badminton2
Skysports Cricket,https://smart.pendy.dpdns.org/Smart.php?id=tiankongcricket
BSフジ BS Fuji,https://smart.pendy.dpdns.org/Smart.php?id=bsfuji_japan
翡翠台 backup,https://smart.pendy.dpdns.org/Smart.php?id=Jade_xue
AlQuran AlKareem,https://smart.pendy.dpdns.org/Smart.php?id=AlQuran
Astro Grandstand,https://smart.pendy.dpdns.org/Smart.php?id=go_assp3
Hollywood Movies,https://smart.pendy.dpdns.org/Smart.php?id=hollywoodmovies_twn
Cartoon Network,https://smart.pendy.dpdns.org/Smart.php?id=Cn
爱奇艺 iQiyi,https://smart.pendy.dpdns.org/Smart.php?id=Qiyi
PPTV Thailand1,https://smart.pendy.dpdns.org/Smart.php?id=pptv_pat
Foodnetwork Hd,https://smart.pendy.dpdns.org/Smart.php?id=Foodnetwork
Astro Football,https://smart.pendy.dpdns.org/Smart.php?id=go_assp4
NatGeo_Wild,https://smart.pendy.dpdns.org/Smart.php?id=natgeowild_twn
Bloomberg News,https://smart.pendy.dpdns.org/Smart.php?id=bloomberg_twn
Astro Vaanavil,https://smart.pendy.dpdns.org/Smart.php?id=Vaanavil
Astro W-Sports,https://smart.pendy.dpdns.org/Smart.php?id=go_assp5
Prima backup 2,https://smart.pendy.dpdns.org/Smart.php?id=AAprima
Skysports News,https://smart.pendy.dpdns.org/Smart.php?id=tiankongnews
NatGeo Wild,https://smart.pendy.dpdns.org/Smart.php?id=Natgeowild
Star Movies,https://smart.pendy.dpdns.org/Smart.php?id=starmovies_raj
Mecca Live,https://smart.pendy.dpdns.org/Smart.php?id=quran_mido
Supersports 4,https://smart.pendy.dpdns.org/Smart.php?id=Assp4
Skysports EPL,https://smart.pendy.dpdns.org/Smart.php?id=tiankongepl
TVRI National,https://smart.pendy.dpdns.org/Smart.php?id=TVRI
News 18 Tamil,https://smart.pendy.dpdns.org/Smart.php?id=news18tamil_raj
Supersports 3,https://smart.pendy.dpdns.org/Smart.php?id=Assp3
Astro Sunlife,https://smart.pendy.dpdns.org/Smart.php?id=Sunlife
Supersports 2,https://smart.pendy.dpdns.org/Smart.php?id=Assp2
Supersports 1,https://smart.pendy.dpdns.org/Smart.php?id=Assp1
Rugby Pass TV,https://smart.pendy.dpdns.org/Smart.php?id=Rugbypasstv
Zee Cinema,https://smart.pendy.dpdns.org/Smart.php?id=Zeecinemahd
Movies Now,https://smart.pendy.dpdns.org/Smart.php?id=moviesnow_raj
RTM Sports,https://smart.pendy.dpdns.org/Smart.php?id=Rtmsport
Skysports Mix,https://smart.pendy.dpdns.org/Smart.php?id=tiankongmix
Animal_Planet,https://smart.pendy.dpdns.org/Smart.php?id=animalplanet_twn
MeWatch Suria,https://smart.pendy.dpdns.org/Smart.php?id=Mewatch_Suria
Danang TV2,https://smart.pendy.dpdns.org/Smart.php?id=viet_danangtv2
Astro Cricket,https://smart.pendy.dpdns.org/Smart.php?id=Acricket
TNT Sports 4,https://smart.pendy.dpdns.org/Smart.php?id=tntsport4
龙详时代,https://smart.pendy.dpdns.org/Smart.php?id=lungxiangtime_twn
Astrol Kplus,https://smart.pendy.dpdns.org/Smart.php?id=Kplus
Vision Prime,https://smart.pendy.dpdns.org/Smart.php?id=VisionPrime
Sun TV India,https://smart.pendy.dpdns.org/Smart.php?id=suntv_raj
Colors Tamil,https://smart.pendy.dpdns.org/Smart.php?id=Colorstam
Citra backup,https://smart.pendy.dpdns.org/Smart.php?id=AAcitra1
Prima backup,https://smart.pendy.dpdns.org/Smart.php?id=AAprima1
NatGeo Tamil,https://smart.pendy.dpdns.org/Smart.php?id=natgeotamil_raj
MeWatch Ch U,https://smart.pendy.dpdns.org/Smart.php?id=Mewatch_chU
MeWatch Ch 5,https://smart.pendy.dpdns.org/Smart.php?id=Mewatch_ch5
Tnt Sports 1,https://smart.pendy.dpdns.org/Smart.php?id=6fac0aaead
KBS World 24,https://smart.pendy.dpdns.org/Smart.php?id=kbsworld24_korea
Skysports F1,https://smart.pendy.dpdns.org/Smart.php?id=tiankongf1
NHK-総合-2,https://smart.pendy.dpdns.org/Smart.php?id=nhkg_japan
TNT Sports 3,https://smart.pendy.dpdns.org/Smart.php?id=5fea4d73db
凤凰卫视,https://smart.pendy.dpdns.org/Smart.php?id=phoenixtv_hd
Discovery Tamil,https://smart.pendy.dpdns.org/Smart.php?id=discoverytamil_raj
台视,https://smart.pendy.dpdns.org/Smart.php?id=ttv_taiwan
华视,https://smart.pendy.dpdns.org/Smart.php?id=ctshd_twn
三立综合台,https://smart.pendy.dpdns.org/Smart.php?id=sanlizhonghe
八大综合台,https://smart.pendy.dpdns.org/Smart.php?id=badazhonghe
DiscoveryAsia,https://smart.pendy.dpdns.org/Smart.php?id=discoverytwn_twn
Discovery,https://smart.pendy.dpdns.org/Smart.php?id=discoveryhd_twn
DiscoveryWorld,https://smart.pendy.dpdns.org/Smart.php?id=discoveryworldtam_raj
DiscoveryKids,https://smart.pendy.dpdns.org/Smart.php?id=discoverykidtamil_raj
TLC旅游生活频道,https://smart.pendy.dpdns.org/Smart.php?id=tlc_twn
TLC旅游生活频道,https://smart.pendy.dpdns.org/Smart.php?id=Tlc
ARIRANG阿里郎频道,https://smart.pendy.dpdns.org/Smart.php?id=arirang_twn
东森幼幼台,https://smart.pendy.dpdns.org/Smart.php?id=yoyo_twn
纬来综合台,https://smart.pendy.dpdns.org/Smart.php?id=videolandzonghe
八大第一台,https://smart.pendy.dpdns.org/Smart.php?id=badafirst
三立台湾台,https://smart.pendy.dpdns.org/Smart.php?id=sanlitaiwan
卫视中文台,https://smart.pendy.dpdns.org/Smart.php?id=weishichinese_twn
东森超视,https://smart.pendy.dpdns.org/Smart.php?id=ettvsuper
靖天卡通台,https://smart.pendy.dpdns.org/Smart.php?id=jingtiancartoon_twn
中天娱乐台,https://smart.pendy.dpdns.org/Smart.php?id=ctient
东森戏剧台,https://smart.pendy.dpdns.org/Smart.php?id=ettvdrama
八大戏剧台,https://smart.pendy.dpdns.org/Smart.php?id=badadrama
年代新闻台,https://smart.pendy.dpdns.org/Smart.php?id=niandainews_twn
东森新闻台,https://smart.pendy.dpdns.org/Smart.php?id=ettvnews
中天综合台,https://smart.pendy.dpdns.org/Smart.php?id=ctizhonghe
台视新闻台,https://smart.pendy.dpdns.org/Smart.php?id=ttvnews_twn
民视新闻台,https://smart.pendy.dpdns.org/Smart.php?id=ftvnew_taiwan
三立新闻台,https://smart.pendy.dpdns.org/Smart.php?id=inews_twn
三立新闻台,https://smart.pendy.dpdns.org/Smart.php?id=Inewstv
东森财经新闻台,https://smart.pendy.dpdns.org/Smart.php?id=ettvcaijing_twn
中视新闻,https://smart.pendy.dpdns.org/Smart.php?id=zhongshinews_twn
中天新闻台,https://smart.pendy.dpdns.org/Smart.php?id=ctinews
非凡新闻台,https://smart.pendy.dpdns.org/Smart.php?id=feifannews_twn
寰宇新闻,https://smart.pendy.dpdns.org/Smart.php?id=huanyuxinwen_twn
卫视电影台,https://smart.pendy.dpdns.org/Smart.php?id=weishimovie_twn
东森电影台,https://smart.pendy.dpdns.org/Smart.php?id=ettvmovie
纬来电影台,https://smart.pendy.dpdns.org/Smart.php?id=videolandmovie
HBOSignature,https://smart.pendy.dpdns.org/Smart.php?id=Hbosignature
HBOFamily,https://smart.pendy.dpdns.org/Smart.php?id=Hbofamily
HBO,https://smart.pendy.dpdns.org/Smart.php?id=Hbo
HBO,https://smart.pendy.dpdns.org/Smart.php?id=Hbo
HBOHits,https://smart.pendy.dpdns.org/Smart.php?id=Hbohitshd
东森洋片台,https://smart.pendy.dpdns.org/Smart.php?id=ettvwestern
TVBS,https://smart.pendy.dpdns.org/Smart.php?id=tvbs
中天亚洲台,https://smart.pendy.dpdns.org/Smart.php?id=ctiasia_twn
CINEMAX,https://smart.pendy.dpdns.org/Smart.php?id=Cinemax
纬来育乐台,https://smart.pendy.dpdns.org/Smart.php?id=videolandyule
纬来体育台,https://smart.pendy.dpdns.org/Smart.php?id=videolandsport
靖天国际,https://smart.pendy.dpdns.org/Smart.php?id=jingtianintl_twn
纬来日本台,https://smart.pendy.dpdns.org/Smart.php?id=videolandjapan
八大娱乐台,https://smart.pendy.dpdns.org/Smart.php?id=badaentertain
博斯运动一台,https://smart.pendy.dpdns.org/Smart.php?id=bosisport1_twn
博斯运动二台,https://smart.pendy.dpdns.org/Smart.php?id=bosisport2_twn
History 历史频道,https://smart.pendy.dpdns.org/Smart.php?id=historytam_raj
ROCK Entertainment,https://smart.pendy.dpdns.org/Smart.php?id=Rockaction
美食星球,https://smart.pendy.dpdns.org/Smart.php?id=foodplanet_twn
台视综合台,https://smart.pendy.dpdns.org/Smart.php?id=ttvzhonghe
DW德国之声,https://smart.pendy.dpdns.org/Smart.php?id=dw_twn
爱尔达体育2,https://smart.pendy.dpdns.org/Smart.php?id=eltasport2_twn
爱尔达体育3,https://smart.pendy.dpdns.org/Smart.php?id=eltasport3_twn
亚洲美食频道,https://smart.pendy.dpdns.org/Smart.php?id=afc_twn
纬来精采,https://smart.pendy.dpdns.org/Smart.php?id=videolandspecial_twn
三立戏剧,https://smart.pendy.dpdns.org/Smart.php?id=sanlixiju_twn
美亚电影台,https://smart.pendy.dpdns.org/Smart.php?id=meiyamovie_twn
龙华洋片,https://smart.pendy.dpdns.org/Smart.php?id=lunghuawestern_twn
龙华经典,https://smart.pendy.dpdns.org/Smart.php?id=lunghuajingdian_twn
CCTV1,https://smart.pendy.dpdns.org/Smart.php?id=cctv1
CCTV2,https://smart.pendy.dpdns.org/Smart.php?id=cctv2
CCTV3,https://smart.pendy.dpdns.org/Smart.php?id=cctv3
CCTV4,https://smart.pendy.dpdns.org/Smart.php?id=Cctv4
CCTV5,https://smart.pendy.dpdns.org/Smart.php?id=cctv5plus
CCTV5+,https://smart.pendy.dpdns.org/Smart.php?id=cctv5plus
CCTV7,https://smart.pendy.dpdns.org/Smart.php?id=cctv7
CCTV8,https://smart.pendy.dpdns.org/Smart.php?id=cctv8hd
CCTV9,https://smart.pendy.dpdns.org/Smart.php?id=cctv9hd
CCTV10,https://smart.pendy.dpdns.org/Smart.php?id=cctv10hd
CCTV11,https://smart.pendy.dpdns.org/Smart.php?id=cctv11
CCTV12,https://smart.pendy.dpdns.org/Smart.php?id=cctv12
CCTV13,https://smart.pendy.dpdns.org/Smart.php?id=cctv13
CCTV14,https://smart.pendy.dpdns.org/Smart.php?id=cctv14
CCTV15,https://smart.pendy.dpdns.org/Smart.php?id=cctv15
龙华戏剧,https://smart.pendy.dpdns.org/Smart.php?id=lunghuaxiju_twn
博斯高球2台,https://smart.pendy.dpdns.org/Smart.php?id=bosigolf2_twn
博斯网球台,https://smart.pendy.dpdns.org/Smart.php?id=bositennis_twn
博斯无限台,https://smart.pendy.dpdns.org/Smart.php?id=bosiunlimited_twn
湖南卫视,https://smart.pendy.dpdns.org/Smart.php?id=hunan_twn
浙江卫视,https://smart.pendy.dpdns.org/Smart.php?id=zhejiang_twn
北京卫视,https://smart.pendy.dpdns.org/Smart.php?id=beijing
东方卫视,https://smart.pendy.dpdns.org/Smart.php?id=dongfangweishi_twn
广西卫视,https://smart.pendy.dpdns.org/Smart.php?id=guangxi
湖北卫视,https://smart.pendy.dpdns.org/Smart.php?id=hubei
四川卫视,https://smart.pendy.dpdns.org/Smart.php?id=sichuan_twn
凤凰资讯,https://smart.pendy.dpdns.org/Smart.php?id=phoenixinfo_hd
BBCWorldNews,https://smart.pendy.dpdns.org/Smart.php?id=Bbcnews
寰宇财经,https://smart.pendy.dpdns.org/Smart.php?id=huanyutaiwan_twn
凤凰香港,https://smart.pendy.dpdns.org/Smart.php?id=hkphoenix_twn
